month,mm,oc,rh,lv
May-06,156.2,18.4,57,서울
Jun-06,168.5,21.8,68,서울
Jul-06,1014,23.1,82,서울
Aug-06,121.2,27,69,서울
Sep-06,11.1,21.1,58,서울
Oct-06,30.2,17.9,62,서울
Nov-06,47.6,8.4,58,서울
Dec-06,17.3,1.4,59,서울
Jan-07,10.8,0.4,56,서울
Feb-07,12.6,4,53,서울
Mar-07,123.5,6.1,60,서울
Apr-07,41.1,11.4,53,서울
May-07,137.6,18.1,62,서울
Jun-07,54.5,23.2,61,서울
Jul-07,274.1,24.2,75,서울
Aug-07,237.6,26.5,75,서울
Sep-07,241.9,21.5,74,서울
Oct-07,39.5,15.1,63,서울
Nov-07,26.4,6.7,55,서울
Dec-07,12.7,1.8,60,서울
Jan-08,17.7,-1.7,50,서울
Feb-08,15,-1.2,46,서울
Mar-08,53.9,7.3,56,서울
Apr-08,38.5,14.1,50,서울
May-08,97.7,17.7,58,서울
Jun-08,165,21.5,65,서울
Jul-08,530.8,25.1,78,서울
Aug-08,251.2,25.3,70,서울
Sep-08,99.2,22,64,서울
Oct-08,41.8,16.1,62,서울
Nov-08,19.6,7.6,58,서울
Dec-08,25.9,1.1,56,서울
Jan-09,5.7,-2,50,서울
Feb-09,36.9,2.9,57,서울
Mar-09,63.9,6,52,서울
Apr-09,66.5,12.7,54,서울
May-09,109,19.1,59,서울
Jun-09,132,22.4,66,서울
Jul-09,659.4,24.3,76,서울
Aug-09,285.3,25.7,69,서울
Sep-09,64.5,21.8,64,서울
Oct-09,66.9,16,62,서울
Nov-09,52.4,6.9,64,서울
Dec-09,21.5,-1,60,서울
Jan-10,29.3,-4.5,65,서울
Feb-10,55.3,1.4,59,서울
Mar-10,82.5,4.3,59,서울
Apr-10,62.8,9.5,54,서울
May-10,124,17.2,62,서울
Jun-10,127.6,23.4,62,서울
Jul-10,239.2,25.8,74,서울
Aug-10,598.7,26.5,78,서울
Sep-10,671.5,21.8,72,서울
Oct-10,25.6,14.5,61,서울
Nov-10,10.9,6.5,55,서울
Dec-10,16.1,-1.3,56,서울
Jan-11,8.9,-7.2,54,서울
Feb-11,29.1,1.2,55,서울
Mar-11,14.6,3.6,51,서울
Apr-11,110.1,10.7,54,서울
May-11,53.4,17.9,57,서울
Jun-11,404.5,22,67,서울
Jul-11,1131,24.6,79,서울
Aug-11,166.8,25.8,74,서울
Sep-11,25.6,21.8,58,서울
Oct-11,32,14.2,55,서울
Nov-11,56.2,10.7,61,서울
Dec-11,7.1,-0.9,51,서울
Jan-12,6.7,-2.8,49,서울
Feb-12,0.8,-2,43,서울
Mar-12,47.4,5.1,52,서울
Apr-12,157,12.3,54,서울
May-12,8.2,19.7,48,서울
Jun-12,91.9,24.1,54,서울
Jul-12,448.9,25.4,74,서울
Aug-12,464.9,27.1,68,서울
Sep-12,212,21,65,서울
Oct-12,99.3,15.3,58,서울
Nov-12,67.8,5.5,57,서울
Dec-12,41.4,-4.1,57,서울
Jan-13,22.1,-3.4,57,서울
Feb-13,74.1,-1.2,54,서울
Mar-13,27.3,5.1,49,서울
Apr-13,71.7,10,54,서울
May-13,132,18.2,58,서울
Jun-13,28.3,24.4,60,서울
Jul-13,676.2,25.5,79,서울
Aug-13,148.6,27.7,69,서울
Sep-13,138.5,21.8,63,서울
Oct-13,13.5,15.8,59,서울
Nov-13,46.8,6.2,58,서울
Dec-13,24.7,-0.2,60,서울
Jan-14,13,-0.7,50,서울
Feb-14,16.2,1.9,52,서울
Mar-14,7.2,7.9,60,서울
Apr-14,31,14,60,서울
May-14,63,18.9,59,서울
Jun-14,98.1,23.1,73,서울
Jul-14,207.9,26.1,74,서울
Aug-14,172.8,25.2,77,서울
Sep-14,88.1,22.1,69,서울
