v1
-0.2
0.7
7.6
12
16.4
20.9
24.8
24.8
20.9
14
6.2
1.5
-1.9
1
5.8
10.6
18.2
21.3
23.3
23.2
21.2
13.4
8.5
-0.2
-0.9
0.8
4
15.2
17.9
22.8
28.5
27.6
21
15.2
9.3
1.1
-2.1
1.2
6
11.3
17.1
21.6
24.5
26
20
15.5
6.2
-1
-2.2
-1.6
4.9
10.2
18.4
22.3
24.4
26
22
14.5
6.1
1.6
-3.3
0.7
6.8
13
17
23.4
26.1
26.8
20.2
13.4
8.8
1.8
-1.3
3.4
7.3
15.6
19
21.9
24.9
25
23
17
7.3
2.3
-0.8
0.7
6.7
13.9
17.5
23.1
25.9
26
22.9
14.3
7.9
0.4
-2.1
-1.7
6.3
11.9
17.5
23.7
26.8
26.2
20.7
14.9
7
0.9
-4.1
-0.3
5
13.6
19.1
22.5
25.9
26.5
22.5
16.5
7
-0.6
0.3
2.9
7.6
13.6
18.2
22.2
25.2
24.2
21.6
12.8
4
1.7
-2.5
2.7
6.5
13.2
19.6
21.5
23.8
24.1
20.9
13.9
9.5
0.7
-1.5
2.3
6.3
13.1
17.6
23.2
24.8
26.1
21.7
15.2
9.1
1.9
-2.5
-1.9
4.1
13.2
17.7
22.7
25.3
25.1
21.8
14.7
8.6
-3.9
-0.2
0.1
5.2
11.6
18.4
21.8
23.1
27
21.1
17.9
8.4
1.4
0.4
4
6.1
11.4
18.1
23.2
24.2
26.5
21.5
15.1
6.7
1.8
-1.7
-1.2
7.3
14.1
17.7
21.5
25.1
25.3
22
16.1
7.6
1.1
-2
2.9
6
12.7
19.1
22.4
24.3
25.7
21.8
16
6.9
-1
-4.5
1.4
4.3
9.5
17.2
23.4
25.8
26.5
21.8
14.5
6.5
-1.3
-7.2
1.2
3.6
10.7
17.9
22
24.6
25.8
21.8
14.2
10.7
-0.9
-2.8
-2
5.1
12.3
19.7
24.1
25.4
27.1
21
15.3
5.5
-4.1
-3.4
-1.2
5.1
10
18.2
24.4
25.5
27.7
21.8
15.8
6.2
-0.2
-0.7
1.9
7.9
14
18.9
23.1
26.1
25.2
22.1
15.6
9
-2.9
-0.9
1
6.3
13.3
18.9
23.6
25.8
26.3
22.4
15.5
8.9
1.6
-3.2
0.2
7
14.1
19.6
23.6
26.2
28
23.1
16.1
6.8
1.2
-1.8
-0.2
6.3
13.9
19.5
23.3
26.9
25.9
22.1
16.4
5.6
-1.9
-4
-1.6
8.1
13
18.2
23.1
27.8
28.8
21.5
13.1
7.8
-0.6
-0.9
1
7.1
12.1
19.4
22.5
25.9
27.2
22.6
16.4
7.6
1.4
1.6
2.5
7.7
11.1
18
23.9
24.1
26.5
21.4
14.3
8
-0.3
-2.4
2.7
9
14.2
17.1
22.8
28.1
25.9
22.6
15.6
8.2
0.6
